Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BMW,3 Series,,,,,,,,,,,,,,,,94527,70458,59449,44578,47827,41249,49461,30400,,,,
BMW,3-SERIES,,,,,,106950,120180,142488,112464,90060,100910,94471,107705,119521,141632,140609,72290,59449,44578,47827,39290,49458,30400,33816,31329,33030,
BMW,3/4 Series,,,,,,,,,,,,,,119521,142232,,,,,,,,,,,,
BMW,4 Series,,,,,,,,,,,,,,,,46082,35763,39634,31379,18621,9495,22937,28491,,,,
BMW,4-SERIES,,,,,,,,,,,,,,,,,33931,39634,31379,18621,12357,22938,36952,50778,42608,39378,
BMW,5 Series,,,,,,,,,,,,,,56863,52704,44162,32408,40658,43937,38709,26785,24523,20859,,,,
BMW,5-SERIES,,,,,,52722,56756,54141,45915,36473,39487,51491,60840,56863,53704,44162,32408,40658,43937,38709,25515,24523,20857,22400,25317,27105,
BMW,6 Series,,,,,,,,,,,,,,9762,8647,8146,3947,3355,3762,1139,199,55,,,,,
BMW,6-SERIES,,,,,,9934,9322,9033,6533,3550,2418,3903,8737,9762,8647,8146,3950,3355,3762,1139,1960,56,,,1,2,
BMW,7 Series,,,,,,,,,,,,,,10932,9744,9292,12918,9276,8271,8823,6443,7706,5692,,,,
BMW,7-SERIES,,,,,,18165,17796,14777,12276,9254,12253,11299,12221,10932,9744,9292,12918,9276,8271,8823,5985,7705,5974,10810,10715,11393,
BMW,8 Series,,,,,,,,,,,,,,,,,,,223,4410,7737,7760,7311,,,,
BMW,8-SERIES,,,,,,,,,,,,,,,,,,,223,4410,7714,7763,7308,5752,5346,4029,
BMW,I3,,,,,,,,,,,,,,,6092,11024,7625,6276,6120,4853,1502,1476,9,,1,1,
BMW,I8,,,,,,,,,,,,,,,555,2265,1594,488,772,1102,192,21,3,,,,
BMW,IX,,,,,,,,,,,,,,,,,,,,,,,4827,17300,15385,12588,
BMW,X1,,,,,,,,,,,,,8947,26512,22808,14420,27812,30826,29057,17815,14368,18255,7104,21043,27308,27385,
